full_name,name,owner,owner_type,created_at,updated_at,forks_count,stars_count,default_branch,topics,language,open_issues_count,open_pull_requests_count,branches_count,tags_count,commits_count,watchers_count,releases_count,packages_count,contributors_count,languages,close_issues_count,issues_count,close_pull_requests_count,pull_requests_count
petroakzhygitov/VGTS2MP4,VGTS2MP4,petroakzhygitov,User,2014-11-14T10:49:12Z,2022-07-25T08:34:59Z,3,7,master,[],C,0,0,1,0,1,1,0,0,0,"['C', 'C++', 'Objective-C']",0,0,0,0
twitter-archive/CocoaSPDY,CocoaSPDY,twitter-archive,Organization,2013-12-19T01:50:59Z,2023-01-28T09:07:18Z,248,2400,master,[],Objective-C,18,4,4,26,243,217,4,0,17,"['Objective-C', 'C']",33,51,110,114
venmo/VENTokenField,VENTokenField,venmo,Organization,2014-06-19T01:34:44Z,2023-01-25T17:00:37Z,192,796,master,[],Objective-C,28,19,7,18,160,62,11,0,14,"['Objective-C', 'Ruby']",19,47,51,70
jsonmodel/jsonmodel,jsonmodel,jsonmodel,Organization,2012-12-02T17:19:21Z,2023-02-17T02:48:38Z,1071,6856,master,[],Objective-C,24,9,4,29,732,263,9,0,61,"['Objective-C', 'Ruby']",458,482,160,169
prasad-alatkar/prasad-edits,prasad-edits,prasad-alatkar,User,2018-10-01T12:26:37Z,2018-10-04T05:44:11Z,0,0,master,[],,0,0,2,0,3,0,0,0,0,[],0,0,0,0
mahavirj/esp-bootstrap,esp-bootstrap,mahavirj,User,2018-10-03T07:38:19Z,2019-12-31T17:58:54Z,3,9,master,[],C,0,0,1,0,21,4,0,0,2,"['C', 'C++', 'Python', 'M4', 'Makefile', 'CMake', 'Shell']",1,1,0,0
apache/mynewt-nimble,mynewt-nimble,apache,Organization,2017-12-04T19:34:47Z,2023-02-19T06:41:34Z,324,532,master,['mynewt'],C,94,73,11,15,4770,45,0,0,91,"['C', 'Python', 'Ruby', 'Makefile', 'Shell', 'C++']",147,241,1147,1220
zero-to-mastery/travel-guide,travel-guide,zero-to-mastery,Organization,2018-01-13T21:01:48Z,2023-01-28T05:30:38Z,937,101,master,"['hacktoberfest', 'travel-guide']",JavaScript,0,4,3,0,1580,23,0,0,484,"['JavaScript', 'CSS', 'HTML']",16,16,738,742
shinchan-bot/smart-brain-api,smart-brain-api,shinchan-bot,User,2018-11-03T16:33:48Z,2018-11-03T16:55:24Z,0,0,master,[],JavaScript,0,0,1,0,1,1,0,0,0,['JavaScript'],0,0,0,0
shinchan-bot/smart-brain-frontend,smart-brain-frontend,shinchan-bot,User,2018-11-04T06:32:51Z,2018-11-09T19:41:40Z,0,0,master,[],JavaScript,0,0,1,0,1,1,0,0,0,"['JavaScript', 'HTML', 'CSS']",0,0,0,0
shinchan-bot/phone-directory,phone-directory,shinchan-bot,User,2019-03-05T11:48:28Z,2019-03-05T12:32:57Z,0,0,master,[],JavaScript,0,0,2,0,3,1,0,0,0,"['JavaScript', 'CSS', 'HTML']",0,0,0,0
shinchan-bot/zenith19,zenith19,shinchan-bot,User,2019-03-18T13:15:16Z,2019-03-19T21:40:41Z,2,0,master,[],JavaScript,0,1,2,0,2,1,0,0,0,"['JavaScript', 'CSS', 'HTML']",0,0,0,1
saagarverma1234/Zenith-19,Zenith-19,saagarverma1234,User,2019-03-13T18:36:12Z,2019-03-21T09:23:30Z,2,0,master,[],JavaScript,0,2,1,0,4,0,0,0,2,"['JavaScript', 'HTML', 'CSS']",0,0,1,3
tpmanley/conferences,conferences,tpmanley,User,2019-04-23T03:28:07Z,2019-04-23T18:40:28Z,0,2,master,[],Groovy,0,0,1,0,10,3,0,0,2,['Groovy'],0,0,0,0
rbrady/django-bootstrapped,django-bootstrapped,rbrady,User,2011-12-03T20:36:05Z,2021-03-29T04:24:12Z,20,69,master,[],Python,3,0,2,0,19,7,0,0,2,['Python'],1,4,1,1
posborne/Anvil,Anvil,posborne,User,2012-04-07T02:38:23Z,2016-07-07T18:25:34Z,3,3,master,[],Python,28,0,1,0,18,2,0,0,3,['Python'],0,28,2,2
